103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
中和區(第5選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
1388,富貴賞社區中庭,中正路１２０５號,員富里,"1-4,21,22",,,
1389,慈安宮,員山路６１１巷１１弄４號,員富里,"5-20,23",,,
1390,中和高中至誠樓社團辦公室,連城路４６０號,嘉慶里,1-10,,,
1391,中和高中,連城路４６０號,嘉慶里,11-16,,,
1392,中和高中,連城路４６０號,嘉慶里,17-24,,,
1393,名人花園廣場活動中心,民享街３６巷１號,冠穗里,"1-10,12,13,23",,,
1394,冠穗市民活動中心,莒光路１２９巷２弄２４號,冠穗里,"11,14-22,24",,,
1395,鎮南宮,國光街８１號,國華里,"1-8,11",,,
1396,頂天立地公寓大廈,民德路６９號,國華里,"9,10,12-22",,,
1397,停車場旁,宜安路32號旁,宜安里,全里,,變更,
1398,觀音禪院,安樂路２１７巷２２號,安樂里,"1-9,15,19,21-23,25",,,
1399,空地,安平路與中安街口(四號公園角落),安樂里,"10-14,16-18,20,24,26-33",,,
1400,安和市民活動中心,保健路４４巷２號,安和里,"1-12,26,27",,,
1401,樂墘宮,安平路９９號,安和里,13-25,,,
1402,甜蕃茄社區中庭,安平路３６巷５３號,安順里,"1-10,13,16,23,24,32,33",,,
1403,華泰椰城椰林區中庭,安平路７２號,安順里,"11,12,14,15,17-22,25-31,34",,,
1404,配天宮,保健路２９巷２號,安平里,"1-7,22-26,38",,,
1405,民宅車庫,中和路２６２巷２４弄５號,安平里,"8-15,19,27-29,32,33,39",,,
1406,林氏公廳,中和路３５０巷８弄１之２號１樓,安平里,"16-18,20,21,30,31,34-37,40-43",,,
1407,中央圖書館台灣分館B1樂學室,中安街８５號地下室,中安里,1-14,,,
1408,中央圖書館台灣分館B1文化走廊,中安街８５號地下室,中安里,15-29,,,
1409,中央圖書館台灣分館B1國際會議廳,中安街８５號地下室,中安里,30-40,,,
1410,中華幼兒園,中和路２４４巷１０號,泰安里,"1-5,32,33,38-42",,,
1411,雙和幼兒園,保健路４０號,泰安里,"6,13-18,24-27,31,36",,,
1412,玉聖宮,保健路１０巷２４號,泰安里,"7-12,19-23,28-30,34,35,37",,,
1413,秀山國小,立人街２號,秀山里,1-10,,,
1414,秀山國小,立人街２號,秀山里,11-21,,,
1415,秀山國小,立人街２號,秀山里,22-31,,,
1416,秀山國小,立人街２號,秀成里,1-16,,,
1417,秀山國小,立人街２號,秀成里,17-31,,,
1418,永愛幼兒園中庭,秀朗路三段１１４號,秀義里,"1-4,13-18",,,
1419,民宅,秀朗路三段７８巷１弄３號,秀義里,5-12,,,
